title,sentiment_polarity
Oscars race enters final furlong,0
Cage film's third week at US top,1
Oscar nominees gear up for lunch,0
Church anger over Bollywood film,-1
Bookmakers back Aviator for Oscar,1
Global release for Japan hit film,1
Oscar nominee Dan O'Herlihy dies,-1
Berlin cheers for anti-Nazi film,1
Wine comedy wins critics' award,1
Actor Foxx sees Globe nominations,0
Godzilla gets Hollywood fame star,1
God cut from Dark Materials film,-1
Aviator wins top Globes accolades,1
Singer's film to show at festival,0
Surprise win for anti-Bush film,1
Da Vinci film to star Tom Hanks,1
Controversial film tops festival,1
Fockers retain film chart crown,1
Sundance to honour foreign films,1
Day-Lewis set for Berlin honour,1
Downloads enter US singles chart,0
Glasgow hosts tsunami benefit gig,0
Pop band Busted to 'take a break',0
Streets have 'album of the year',1
Manics in charge of BBC 6 Music,0
Media seek Jackson 'juror' notes,0
Band Aid retains number one spot,1
Rap boss arrested over drug find,-1
Elton plays Paris charity concert,0
Elvis set to top UK singles chart,1
Wal-Mart is sued over rude lyrics,-1
Pete Doherty misses bail deadline,-1
Rapper Snoop Dogg sued for 'rape',-1
Legendary music studio to close,-1
Rapper Jay-Z becomes label boss,0
REM concerts blighted by illness,-1
Ring of Fire hit co-writer dies,-1
'My memories of Marley...',0
Belle named 'best Scottish band',1
Dance music not dead says Fatboy,1
Label withdraws McFadden's video,0
Byrds producer Melcher dies at 62,-1
Snow Patrol feted at Irish awards,1
Doves soar to UK album summit,1
Top gig award for Scissor Sisters,1
Brits return Keane to number one,1
Charity single for quake relief,0
Franz man seeks government help,0
Hard act to follow for OutKast,0
Sir Paul rocks Super Bowl crowds,0
Rock group Korn's guitarist quits,-1
Vibe awards back despite violence,1
'Christmas song formula' unveiled,0
Glastonbury fans to get ID cards,0
Queen recruit singer for new tour,0
U2 to play at Grammy awards show,0
Rock band U2 break ticket record,0
Police praise 'courageous' Ozzy,1
New York rockers top talent poll,0
Blair buys copies of new Band Aid,0
Eminem beats Elvis to number one,1
J-Lo and husband plan debut duet,0
Beastie Boys win sampling battle,1
Pupils to get anti-piracy lessons,1
Spector facing more legal action,-1
Usher leads Billboard nominations,1
Eminem secret gig venue revealed,0
"Beatles suits sell for $110,000",0
OutKast win at MTV Europe Awards,1
Oasis star fined for German brawl,-1
Disputed Nirvana box set on sale,0
Usher leads Soul Train shortlist,0
US charity anthem is re-released,1
Band Aid 20 single storms to No 1,1
iTunes now selling Band Aid song,0
Court halts Mark Morrison album,-1
Prince crowned 'top music earner',1
Early Elvis recordings go on sale,1
Parker's saxophone heads auction,1
Comic Morris returns with sitcom,1
TV station refuses adoption show,-1
A-listers flock to Gervais sitcom,0
Campaigners attack MTV 'sleaze',-1
US actor 'found with gun residue',-1
EastEnders 'is set for US remake',0
US 'to raise TV indecency fines',0
Eurovision 'greats' to do battle,0
UK TV channel rapped for CSI ad,-1
X Factor show gets second series,0
Alicia Keys to open US Super Bowl,0
'Comeback' show for Friends star,0
Hillbillies singer Scoggins dies,-1
Branson show flops on US screens,-1
Housewives lift Channel 4 ratings,1
McCririck out of Big Brother show,-1
Chris Evans back on the market,1
Top stars join US tsunami TV show,1
Star Trek fans fight to save show,1
Top of the Pops leaves BBC One,-1
Oscar host Rock to keep it clean,0
Johnny and Denise lose Passport,-1
Double eviction from Big Brother,-1
Celebrities get their skates on,0
Holmes wins '2004 top TV moment',1
Veteran comic Cyril Fletcher dies,-1
Little Britain vies for TV trophy,0
Springer criticises Opera musical,-1
CSI shows give 'unrealistic view',-1
Ethnic producers 'face barriers',-1
US TV special for tsunami relief,0
Gervais writing Simpsons episode,0
John Peel replacement show begins,0
Brookside actress Keaveney dies,-1
&#163;1.8m indecency fine for Viacom,-1
Celebrities get to stay in jungle,0
Triple triumph for Little Britain,1
BBC 'should allow more scrutiny',0
Greer attacks 'bully' Big Brother,-1
No charges against TV's Cosby,1
Wife Swap makers sue US 'copycat',-1
Show over for MTV's The Osbournes,0
Jungle TV show ratings drop by 4m,-1
Duran Duran show set for US TV,0
US show sued for rat-eating stunt,-1
Muslim group attacks TV drama 24,-1
Brookside creator's Channel 4 bid,0
Little Britain two top comic list,1
TV show unites Angolan families,1
Volcano drama erupts on BBC One,-1
South Bank Awards honour hit soap,1
Baywatch dubbed 'worst TV import',-1
Stern dropped from radio stations,-1
US TV host Clark suffers stroke,-1
New media battle for Bafta awards,0
Bets off after Big Brother 'leak',0
School tribute for TV host Carson,0
Singer Ferguson 'facing eviction',-1
Farrell due to make US TV debut,0
Stallone evicted from Big Brother,-1
Fox 'too reliant on reality TV',0
George Michael to perform for BBC,0
Joy Division story to become film,0
Aaliyah claim dismissed by court,1
Three DJs replace Peel radio show,0
Connick Jr to lead Broadway show,0
Elvis fans hold birthday bash,0
Elvis regains top chart position,1
Franz Ferdinand's art school lesson,0
Singer Knight backs anti-gun song,0
Portishead back after eight years,1
Fightstar take to the stage,0
Elvis 'set for chart hat-trick',1
Youssou N'Dour wins music prize,1
TOTP turns to Elvis impersonator,0
Blue beat U2 to top France honour,1
Ten-year tragedy of missing Manic,-1
Mogul Wilson backing UK rap band,1
Singer Sizzla jailed for swearing,-1
Spears seeks aborted tour payment,0
Deal to ban 'homophobic' reggae,-1
Soul sensation ready for awards,1
Brit awards for Devon music acts,1
Rock star sued by ex-girlfriend,-1
Scissor Sisters triumph at Brits,0
Jamelia's return to the top,1
Cult band Kasabian surge forward,0
Brits debate over 'urban' music,0
Row threatens Hendrix museum plan,0
No jail for singer Courtney Love,1
Rapper Kanye West's shrewd soul,0
Singer Christina Aguilera to wed,1
U2's desire to be number one,0
Lasting influence of legend Charles,0
Grammys honour soul star Charles,0
Abba reunite for musical premiere,1
Help for indies in download sales,0
T in the Park sells out in days,1
Black Sabbath top rock album poll,1
Michael film signals 'retirement',-1
"Hendrix guitar fetches £100,000",1
German music in a 'zombie' state,-1
TV presenter Deeley drops CD:UK,0
The Producers scoops stage awards,0
Rocker Doherty in on-stage fight,0
The Sound of Music is coming home,0
Download chart debut is delayed,-1
Rapper films music video in jail,-1
Music man to the Oscars,0
Church urges Nelly show boycott,-1
Rap feud in 50 Cent's G-Unit crew,0
Prodigy join V Festival line-up,0
DJ double act revamp chart show,0
Rapper 50 Cent scores chart first,1
Goodrem wins top female MTV prize,1
REM announce new Glasgow concert,1
Rapper 50 Cent ends protege feud,0
Musicians to tackle US red tape,0
Angels 'favourite funeral song',0
U2 stars enter rock Hall of Fame,0
Tough schedule delays Elliot show,-1
Singer Ian Brown 'in gig arrest',-1
No UK premiere for Rings musical,-1
Dame Julie pops in to see Poppins,0
Snow Patrol bassist exits group,-1
Fockers keeps US box office lead,1
Spider-Man creator wins profits,1
Fry set for role in Hitchhiker's,0
Bollywood draws global stars,0
Hollywood hunts hits at Sundance,0
Actress Roberts takes spider role,0
Film production 'falls' 40% in UK,-1
Fantasy book wins Hollywood deal,1
The comic book genius of Stan Lee,1
Bangkok film festival battles on,0
Carry On star Patsy Rowlands dies,-1
Double win for Sea Inside,1
BBC denies Blackadder TV comeback,-1
Corbett attacks 'dumbed-down TV',-1
Smith loses US box office crown,-1
BBC to pour £9m into new comedy,1
How the Academy Awards flourished,0
Hoffman hits out over modern film,0
Johnny Depp: The acting outlaw,0
Patti Smith to host arts festival,0
Roxy Music on Isle of Wight bill,0
Music mogul Fuller sells company,0
Johnny Cash manager Holiff dies,-1
UK 'world's biggest music buyer',0
Pixies take on Reading and Leeds,0
Vera Drake leads UK Oscar hopes,0
Moreno debut makes Oscar mark,0
Bening makes awards breakthrough,1
Oscars steer clear of controversy,1
Kidman wins photographer battle,1
Van Gogh festival film withdrawn,-1
Douglas set for Indian adventure,0
Incredibles win animation awards,1
Actor Scott is new Bond favourite,1
Films on war triumph at Sundance,0
Career honour for actor DiCaprio,1
Keanu Reeves given Hollywood star,1
De Niro completes box office coup,1
US composer recreates Bach score,1
Applegate's Charity show closes,-1
Ray Charles studio becomes museum,1
Britney attacks 'false tabloids',-1
Abba queen enters music rich list,1
Casino Royale is next Bond movie,0
Berlin celebrates European cinema,1
India to deport Bollywood actress,-1
Women in film 'are earning less',-1
Vera Drake's Bafta triumph hope,0
Roundabout continues nostalgia trip,-1
Stars shine on Bafta red carpet,1
Bafta to hand out movie honours,1
Aviator and Vera take Bafta glory,1
Film star Fox behind theatre bid,0
Shark Tale DVD is US best-seller,1
Lopez misses UK charity premiere,-1
Super Size Me wins writers' award,1
Original Exorcist to be screened,0
Oscar nominees lack pulling power,-1
Hitch holds on to US box office,0
Tarantino to direct CSI episode,0
Bollywood DVD fraudster is jailed,-1
US 'afflicted' with awards fatigue,1
Critics back Aviator for Oscars,0
Briton wins short film Oscar,1
Sideways dominates Spirit awards,1
Arnold congratulated on Oscar win,1
Eastwood's Baby scoops top Oscars,1
British stars denied major Oscars,-1
Lee to create new film superhero,1
Jackson film 'absolute disaster',-1
France set for new Da Vinci novel,0
UK Directors Guild nominees named,0
Halloween writer Debra Hill dies,-1
Tarantino 'to make Friday sequel',0
Boogeyman takes box office lead,1
Lost Doors frontman movie found,1
Last Star Wars 'not for children',0
French honour for director Parker,1
Robots march to US cinema summit,0
Hobbit picture 'four years away',0
Buffy creator joins Wonder Woman,0
Labour plans maternity pay rise,1
Watchdog probes e-mail deletions,0
Hewitt decries 'career sexism',-1
Labour chooses Manchester,0
Brown ally rejects Budget spree,-1
'Errors' doomed first Dome sale,-1
Fox attacks Blair's Tory 'lies',-1
Women MPs reveal sexist taunts,-1
Campbell: E-mail row 'silly fuss',-1
Crucial decision on super-casinos,0
Mrs Howard gets key election role,0
PM apology over jailings,1
Howard rebuts asylum criticisms,0
Blair rejects Tory terror offer,-1
Talks held on Gibraltar's future,0
Crisis 'ahead in social sciences',-1
Tsunami debt deal to be announced,0
Straw to attend Auschwitz service,0
Drink remark 'acts as diversion',0
Concerns at school diploma plan,-1
Blair backs 'pre-election budget',1
"Nat Insurance to rise, say Tories",1
E-University 'disgraceful waste',-1
Brown visits slum on Africa trip,0
UK 'needs true immigration data',0
Blair sets date for Africa report,0
Butler launches attack on Blair,-1
Lib Dems demand new inquiry,0
UK set to cut back on embassies,-1
Labour targets 'hardcore truants',-1
Blunkett sorry over murder plan,-1
Hunt demo at Labour meeting,0
Protesters plan airport challenge,0
Tories attack burglar 'U-turns',-1
Leaders meet over Turkish EU bid,0
Choose hope over fear - Kennedy,0
Profile: David Miliband,0
Borders rail link campaign rally,1
'Hitler' row over Welsh arts cash,0
Lords wrong on detainees - Straw,-1
Profile: David Blunkett,0
Strike threat over pension plans,-1
Parties warned over 'grey vote',-1
MPs quiz aides over royal income,0
Tory leader 'cleared' over work,0
Blair and Blunkett Sheffield trip,0
Student 'fee factor' played down,-1
Anglers 'could face prosecution',-1
Clarke to press on with ID cards,0
Scots smoking ban details set out,-1
MPs criticise child access system,0
Nuclear strike 'key terror risk',-1
Russian ex-spy on hunger strike,-1
Lib Dems 'to target stamp duty',0
Kelly trails new discipline power,0
Citizenship event for 18s touted,1
England children's tsar appointed,0
EU China arms ban 'to be lifted',1
'Debate needed' on donations cap,0
Cardinal criticises Iraq war cost,-1
Assembly ballot papers 'missing',-1
Muslims discuss election concerns,0
Drive to 'save' festive holidays,0
Blair hails Turkey-EU talks deal,1
Guantanamo pair's passport ban,-1
Commons hunt protest charges,-1
Child access laws shake-up,-1
MPs to debate 'euthanasia laws',0
Talks aim to avert pension strike,-1
Opposition grows to house arrests,0
Visa decision 'every 11 minutes',0
'No more concessions' on terror,0
No to Royal succession shake-up,-1
BNP leader Nick Griffin arrested,-1
Boris opposes mayor apology,0
Report attacks defence spending,-1
Brown names 16 March for Budget,0
Asylum children to face returns,0
'Fido' to be taken off vote lists,0
'More to do' on adult literacy,0
Tory backing for ID cards,1
Labour's 'EU propaganda',0
Hague 'given up' his PM ambition,-1
Job cuts 'false economy'  - TUC,0
UK's 'useless' quangos under fire,-1
Howard backs stem cell research,1
Howard unveils Tory asylum plans,0
Campaign 'cold calls' questioned,0
Tory leader quits legal position,-1
MSPs hear renewed climate warning,0
Vouchers 'to cut winter deaths',1
New 'yob' targets to be unveiled,0
Kennedy calls for Iraq exit plans,0
McConnell in 'drunk' remark row,0
Brown hits back in Blair rift row,0
Tories 'would cut number of MPs',0
UK plan to deport terror suspects,0
Ministers deny care sums 'wrong',0
Blair stresses prosperity goals,0
Guantanamo man 'suing government',-1
Council tax rise 'reasonable',1
Blunkett row should end - Blair,0
Minimum rate for foster parents,-1
Royal couple watch nation's mood,0
Muslim police stops 'more likely',-1
Howard attacks cost of asylum,0
Brown outlines third term vision,0
'Super union' merger plan touted,1
UK firms 'embracing e-commerce',1
UK heading wrong way - Howard,-1
Kilroy launches 'Veritas' party,0
Blair 'damaged' by Blunkett row,-1
MP's shock at long lost daughter,-1
Green fear for transport ballot,-1
New drink limit 'would cut toll',0
"CSA 'could close', says minister",-1
Boothroyd calls for Lords speaker,0
Bid to cut court witness stress,-1
"Lord Scarman, 93, dies peacefully",-1
Tory leader urges Harry apology,1
NHS waiting time target is cut,-1
Tories plan migrant health checks,0
MPs issued with Blackberry threat,-1
Wales 'must learn health lessons',0
UKIP candidate suspended,-1
End Bush 'denial' Blair tells EU,-1
Brown to outline presidency goals,0
Brown shrugs off economy fears,0
UK troops on Ivory Coast standby,0
Blair told to double overseas aid,0
Peace demo appeal rejected,-1
Retirement age could be scrapped,-1
Jowell rejects 'Las Vegas' jibe,-1
Ban on hunting comes into force,-1
Blair says UK tsunami aid to soar,-1
Straw attacked on China arms,-1
Defiant hunts put ban to the test,-1
EU fraud clampdown urged,-1
Straw praises Kashmir moves,1
UK helps raped Rwandan women,1
Howard denies split over ID cards,0
EU referendum question unveiled,0
Malik rejects all-black MP lists,-1
MP attacked by muggers in Kenya,-1
Candidate resigns over BNP link,-1
'Nuclear dumpsite' plan attacked,-1
Labour accused of broken pledge,-1
Labour trio 'had vote-rig factory',-1
Blair returns from peace mission,0
Galloway plea for hostage release,0
Guantanamo four questioned,0
Minister defends hunting ban law,0
Clarke to unveil immigration plan,0
Mayor will not retract Nazi jibe,0
Pakistani women 'must not hide',0
Visa row mandarin made Sir John,0
Kilroy-Silk attacked with slurry,-1
"Petrol duties frozen, Brown says",0
Howard unveils election platform,0
Lawyer attacks anti-terror laws,-1
Turkey deal 'to help world peace',0
"Protect whistleblowers, TUC says",1
Kinnock to urge reform in Lords,0
McConnell details Scots wave toll,1
Police urge pub closure power,-1
Blunkett tells of love and pain,0
Housing plans criticised by MPs,-1
MPs' murder sentence concern,-1
'No-one can define new hunt ban',0
Hospital suspends 'no Welsh' plan,-1
Tories pledge free sports lessons,1
Faith schools citizenship warning,0
Ministers lose slopping out case,-1
Escaped prisoner report ordered,-1
Chancellor rallies Labour voters,0
Councils 'must find Gypsy sites',0
Plaid MP's cottage arson claim,0
Hatfield executives go on trial,-1
Final hunts held as ban looms,-1
Falconer rebuts 'charade' claims,0
"School sport 'is back', says PM",0
Anti-terror plan faces first test,0
Former NI minister Scott dies,-1
Blair rejects Iraq advice calls,-1
Police probe BNP mosque leaflet,0
Blair says mayor should apologise,0
Jowell confirms casino climbdown,0
Security papers 'found in street',0
Blair congratulates Bush on win,1
Howard 'truanted to play snooker',0
Short attacks US over tsunami aid,-1
Guantanamo four free in weeks,0
Tories attack EU asylum moves,-1
Cherie accused of attacking Bush,-1
Tsunami 'won't divert Africa aid',0
Mandelson warning to BBC,-1
Blair 'pressing US on climate',0
Police chief backs drinking move,1
Game warnings 'must be clearer',0
Mallon wades into NE vote battle,0
Howard rejects BNP's claim,-1
Tories opposing 24-hour drinking,-1
New foot and mouth action urged,0
Correction agency plans dropped,0
Tutu's Guantanamo release call,0
Blair's hope for Blunkett return,0
February poll claim 'speculation',0
Gurkhas to help tsunami victims,1
Abbas 'will not tolerate' attacks,0
Thousands join strike in Wales,-1
Top judge clashes with ministers,-1
Tory expert denies defeatism,-1
Lib Dems target the student vote,0
Custody death rate 'shocks' MPs,-1
New rules tackle 'sham weddings',-1
Ministers 'naive' over phone-taps,0
Schools to take part in mock poll,0
Blair dismisses quit claim report,0
Jamieson issues warning to bigots,0
Clarke plans migrant point scheme,0
Clarke defends terror detentions,1
Voters 'reject EU by two to one',-1
Kennedy questions trust of Blair,0
Terror detainees win Lords appeal,0
Blair to face MPs amid feud talk,0
Tories unveil quango blitz plans,0
Clarke faces ID cards rebellion,-1
Labour pig poster 'anti-Semitic',-1
Iraqis win death test case probe,-1
Burglar defence guidelines issued,1
Woolf murder sentence rethink,0
Probe launched on Ken Nazi jibe,0
'Few ready' for information act,0
Blunkett unveils policing plans,0
Lib Dems' new election PR chief,0
Jack Cunningham to stand down,-1
Kilroy unveils immigration policy,0
Regiments' group in poll move,0
Row over 'police' power for CSOs,0
Sport betting rules in spotlight,0
Councils prepare to set tax rises,-1
Whitehall shredding increasing - Tories,-1
MPs assess Scots fishing industry,0
Research fears over Kelly's views,-1
Army chiefs in regiments decision,0
Student 'inequality' exposed,0
Kennedy to make temple address,0
David Blunkett in quotes,0
"No election TV debate, says Blair",0
What the election should really be about?,0
Brown and Blair face new rift claims,0
Blair 'said he would stand down',0
Could rivalry overshadow election?,0
Brown in appeal for Labour unity,0
Blair pledges unity to Labour MPs,0
Blair and Brown criticised by MPs,-1
Labour MPs' fears over squabbling,-1
'Poll Idols' face first hurdles,0
Labour seeks to quell feud talk,-1
Labour's election love-in,0
Howard taunts Blair over splits,-1
How political squabbles snowball,-1
Blair looks to election campaign,0
Peers debate Crown succession law,0
UKIP's secret weapon?,0
More reforms ahead says Milburn,0
Teens 'know little' of politics,0
Defection timed to hit tax pledge,0
Tory leader unveils spending plan,0
Kennedy looks to election gains,1
'Best person' for top legal job,1
The memory driving Brown's mission,0
Howard dismisses Tory tax fears,1
Donor attacks Blair-Brown 'feud',-1
Howard and Blair tax pledge clash,0
What really divides the parties,0
Amnesty chief laments war failure,-1
Blair sees greater Bush consensus,1
Kilroy-Silk quits 'shameful' UKIP,-1
Blair blasts Tory spending plans,-1
Lib Dems' 'bold' election policy,0
Kennedy's cautious optimism,0
UKIP candidate suspended in probe,-1
New UKIP defection to 'Veritas',-1
Baron Kinnock makes Lords debut,1
Terror powers expose 'tyranny',-1
UKIP MEP attacked German 'empire',-1
Civil servants in strike ballot,-1
Blair Labour's longest-serving PM,1
Tories leave door open for Archer,0
Mandelson warns BBC on Campbell,0
Conservative backing for ID cards,0
Taxes must be trusted - Kennedy,0
Galloway targets 'New Labour' MP,0
Election deal faltered over Heath role,0
UKIP outspent Labour on EU poll,0
Labour battle plan 'hides Blair',-1
Campbell returns to election team,0
Conservative MP defects to Labour,0
Tory 'stalking horse' Meyer dies,-1
UK youth 'interested' in politics,1
Stalemate in pension strike talks,-1
Blair to face trust issue head on,0
CSA chief who 'quit' still in job,-1
Blair moves to woo Jewish voters,0
Parties' plans for council tax,0
Labour in constituency race row,0
MPs tout Lords replacement plan,0
Hague's six-figure earnings shown,0
Parties build up poll war chests,0
Kennedy predicts bigger turnout,1
Iraq advice claim sparks new row,0
UKIP could sue Veritas defectors,-1
Prime minister's questions,0
Goldsmith denies war advice claim,-1
Goldsmith: 'I was not leant on',0
Tory expert denies defeat warning,-1
Manchester wins Labour conference,1
Labour attacked on Howard poster,-1
Milburn defends poster campaign,0
Kilroy names election seat target,0
Immigration to be election issue,-1
Kennedy begins pre-election tour,0
Labour's core support takes stock,0
Lib Dems highlight problem debt,-1
Lib Dems target first-time buyers,0
Lib Dems unveil women's manifesto,0
Labour's Cunningham to stand down,-1
Will Tory tax cuts lift spirits?,0
Teenagers to be allowed to be MPs,0
Labour's four little words,0
Tories outlining policing plans,0
TV debate urged for party chiefs,0
Brown 'proud of economy record',1
Blair joins school sailing trip,0
"Analysis: No pain, no gain?",0
Lib Dems stress Budget trust gap,-1
Cabinet anger at Brown cash raid,-1
'UK will stand firm on EU rebate',0
Will the Budget bring out smiling voters?,1
Budget to set scene for election,0
Brown comes out shooting,-1
Kennedy criticises 'unfair' taxes,-1
Howard attacks 'pay later' Budget,-1
Whitehall cuts 'ahead of target',-1
Brown calls for £5.5bn Aids fund,1
"UK heading wrong way, says Howard",-1
"Act on detention ruling, UK urged",-1
BAA support ahead of court battle,0
UK 'discriminated against Roma',-1
Howard pitches for UK ethnic vote,0
Observers to monitor UK election,0
UK rebate 'unjustified' - Chirac,-1
"UK needs tax cuts, Tories insist",-1
Brown targets OAPs and homebuyers,0
MPs demand 'Budget leak' answers,0
US casino 'tricks' face ban in UK,-1
Blair defends terror law changes,-1
Election 'could be terror target',-1
Minimum wage increased to £5.05,1
Hunt ban support is 'in decline',-1
At a glance: Tory health checks,0
Labour accused of 'EU propaganda',-1
Terror suspects face house arrest,-1
UK pledges £1bn to vaccine effort,1
Straw backs ending China embargo,1
Pre-poll clash on tax and spend,-1
Plan to give elderly care control,1
EU rules 'won't stop UK spending',0
Child access law shake-up planned,0
'EU referendum could cost £80m',0
'No UK apology' for colonial past,0
Parliament's record of scandal,-1
Economy focus for election battle,-1
Blair ready to call election,0
Labour faces 'cold calls' inquiry,-1
Blunkett hints at election call,0
Lib Dems predict 'best ever poll',1
Tories reject rethink on axed MP,-1
Ex-PM Lord Callaghan dies aged 92,-1
Blair prepares to name poll date,0
Brown's poll campaign move denied,-1
Voters 'don't trust politicians',-1
Tory candidate quits over remark,-1
Abortion not a poll issue - Blair,-1
Profile: Gordon Brown,0
Boateng to step down at election,-1
Howard hits back at mongrel jibe,0
Tories urge 'change at the top',0
Sayeed to stand down as Tory MP,-1
Howard's unfinished business,0
'Last chance' warning for voters,-1
Sainsbury's Labour election gift,1
Blair 'up for it' ahead of poll,1
Labour MP praises Tory campaign,0
Top Tories on Lib Dem 'hit list',-1
Lib Dems unveil election slogan,0
Claxton hunting first major medal,0
O'Sullivan could run in Worlds,0
Greene sets sights on world title,0
IAAF launches fight against drugs,1
"Dibaba breaks 5,000m world record",1
Isinbayeva claims new world best,1
O'Sullivan commits to Dublin race,0
Hansen 'delays return until 2006',-1
Off-colour Gardener storms to win,0
Collins to compete in Birmingham,0
Radcliffe yet to answer GB call,-1
Edwards tips Idowu for Euro gold,0
Kenya lift Chepkemei's suspension,1
McIlroy aiming for Madrid title,0
UK Athletics agrees new kit deal,1
Verdict delay for Greek sprinters,-1
Call for Kenteris to be cleared,0
Merritt close to indoor 400m mark,0
London hope over Chepkemei,0
Chepkemei hit by big ban,-1
Holmes secures comeback victory,0
Greek pair attend drugs hearing,0
Chepkemei joins Edinburgh line-up,0
El Guerrouj targets cross country,0
Collins appeals against drugs ban,0
Holmes feted with further honour,0
Campbell to extend sprint career,0
Isinbayeva heads for Birmingham,0
2004: An Irish Athletics Year,0
Sprinter Walker quits athletics,-1
Bekele sets sights on world mark,0
Greek sprinters suspended by IAAF,-1
Athens memories soar above lows,0
Collins banned in landmark case,-1
Jones doping probe begins,-1
Johnson accuses British sprinters,-1
Radcliffe proves doubters wrong,1
Jones medals 'must go if guilty',0
Radcliffe tackles marathon tasks,1
Gatlin and Hayes win Owen awards,1
Radcliffe enjoys winning comeback,1
Collins named UK Athletics chief,0
White admits to Balco drugs link,-1
Trial date is set for Balco case,-1
Radcliffe eyes hard line on drugs,-1
Kenteris denies faking road crash,-1
Greek pair set for hearing,-1
Jones files Conte lawsuit,-1
IAAF awaits Greek pair's response,0
IAAF to rule on Greek sprint pair,0
Holmes starts 2005 with GB events,0
Gebrselassie in London triple bid,0
Thanou bullish over drugs hearing,-1
Holmes is hit by hamstring injury,-1
Kluft impressed by Sotherton form,1
What now for Kelly Holmes?,0
Gardener battles to narrow win,1
European medal chances improve,1
McIlroy wins 800m indoor title,1
Johnson edges out rival Sotherton,0
Brizzel to run AAA's in Sheffield,0
Holmes urged to compete at Worlds,0
McIlroy continues winning streak,1
Radcliffe will compete in London,0
Britain boosted by Holmes double,1
Lewis-Francis eyeing world gold,1
GB select Holmes for double bid,0
Holmes back on form in Birmingham,0
Record fails to lift lacklustre meet,-1
Tomlinson stays focused on Europe,0
Running around the Olympics,0
Johnson uncertain about Euro bid,0
Pavey focuses on indoor success,1
Gardener wins double in Glasgow,1
African double in Edinburgh,1
Yelling takes Cardiff hat-trick,0
Butler strikes gold in Spain,1
Wada will appeal against ruling,-1
Greek sprinters 'won't run again',0
IAAF will contest Greek decision,0
Greek duo cleared in doping case,1
Johnson too strong for GB runners,0
Tulu to appear at Caledonian run,0
Disappointed Scott in solid start,-1
GB quartet get cross country call,0
Jones files lawsuit against Conte,-1
Thanou desperate to make return,1
Relay squad thrilled with honours,1
Balco case trial date pushed back,-1
Collins calls for Chambers return,0
Costin aims for comeback in 2006,0
Lewis-Francis turns to Christie,0
Man Utd stroll to Cup win,0
Van Nistelrooy set to return,0
Moyes U-turn on Beattie dismissal,0
Ronaldo considering new contract,0
Smith keen on Home series return,0
Mido makes third apology,1
Man City 0-2 Man Utd,0
Gerrard plays down European hopes,-1
Duff ruled out of Barcelona clash,-1
Chelsea clinch cup in extra-time,1
Newcastle 2-1 Bolton,0
Middlesbrough 2-2 Charlton,0
Dundee Utd 4-1 Aberdeen,0
Clyde 0-5 Celtic,0
Hearts 2-1 Livingston,0
Kenyon denies Robben Barca return,-1
Bridge could miss rest of season,-1
Parry firm over Gerrard,1
Wright-Phillips to start on right,1
